SMILES	Solvent	Reactivity Parameters	SMARTS
CNN(C)C	MeCN	N Parameter: 12.43 s N Parameter: 0.75	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
CNN(C)C	MeCN	N Parameter: 17.75 s N Parameter: 0.53	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
CC=1N(CCN1)C(C)=O	dichloromethane	N Parameter: 10.03 s N Parameter: 0.75	[$([NX3]([CX3])[CX3]=[OX1,SX1])][CX3]([#6])=[NX2][CX4,c]
C(C1=CC=CC=C1)N1C(=NCC1)C1=CC=CC=C1	dichloromethane	N Parameter: 13.11 s N Parameter: 0.83	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c]),$([NX3H2][CX3])][CX3]([#6])=[NX2][CX4,c]
CC=1NCCCN1	dichloromethane	N Parameter: 15.21 s N Parameter: 0.69	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c]),$([NX3H2][CX3])][CX3]([#6])=[NX2][CX4,c]
CC=1NCCCN1	DMSO	N Parameter: 14.58 s N Parameter: 0.79	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c]),$([NX3H2][CX3])][CX3]([#6])=[NX2][CX4,c]
CC=1NCCCN1	MeCN	N Parameter: 14.43 s N Parameter: 0.79	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c]),$([NX3H2][CX3])][CX3]([#6])=[NX2][CX4,c]
CC=1OCCN1	dichloromethane	N Parameter: 9.81 s N Parameter: 0.77	[OX2,SX2][CX3]([#6])=[NX2][CX4,c]
CC=1NCCN1	dichloromethane	N Parameter: 12.92 s N Parameter: 0.77	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c]),$([NX3H2][CX3])][CX3]([#6])=[NX2][CX4,c]
CC=1SCCN1	dichloromethane	N Parameter: 10.20 s N Parameter: 0.71	[OX2,SX2][CX3]([#6])=[NX2][CX4,c]
C1(=CC=CC=C1)C=1NCCCN1	dichloromethane	N Parameter: 14.62 s N Parameter: 0.72	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c]),$([NX3H2][CX3])][CX3]([#6])=[NX2][CX4,c]
C1(=CC=CC=C1)C=1NCCN1	dichloromethane	N Parameter: 12.31 s N Parameter: 0.77	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c]),$([NX3H2][CX3])][CX3]([#6])=[NX2][CX4,c]
CC(C)(C)[C@H]1CN2C(SC3=CC=CC=C23)=N[C@@H]1C1=CC=CC=C1	dichloromethane	N Parameter: 14.96 s N Parameter: 0.64	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
CC(C)(C)[C@@H]1CCN2C(SC3=CC=CC=C23)=N1	dichloromethane	N Parameter: 12.95 s N Parameter: 0.58	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
C1CN2C(SC3=CC=CC=C23)=N[C@H]1C(C1=CC=CC=C1)C1=CC=CC=C1	dichloromethane	N Parameter: 15.30 s N Parameter: 0.55	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
CC(C)[C@H]1CCN2C(SC3=CC=CC=C23)=N1	dichloromethane	N Parameter: 16.50 s N Parameter: 0.48	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
C1CN2C(SC3=CC=CC=C23)=N[C@@H]1C1=CC=CC=C1	dichloromethane	N Parameter: 13.45 s N Parameter: 0.72	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
S1C=2N(CCC1)CCCN2	dichloromethane	N Parameter: 14.10 s N Parameter: 0.82	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
S1C=2N(CC1)CCN2	dichloromethane	N Parameter: 12.98 s N Parameter: 0.81	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
N=1CCN2C1SC1=C2C=CC=C1	dichloromethane	N Parameter: 13.42 s N Parameter: 0.73	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
N=1CCN2C1SCCC2	dichloromethane	N Parameter: 13.00 s N Parameter: 0.83	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
C1CN=C2SC3=CC=CC=C3N2C1	dichloromethane	N Parameter: 13.86 s N Parameter: 0.78	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
S1CCN2C1=NCCC2	dichloromethane	N Parameter: 14.45 s N Parameter: 0.78	[$([SX2]([CX3])[CX4,c])][CX3](=[$([NX2H]=[CX3]),$([NX2](=[CX3])[CX4,c])])[NX3]
CN1C(=O)[N-]C(=O)C=C1	DMSO	N Parameter: 16.36 s N Parameter: 0.69	O=c1cc[nX3]c(=O)[n-]1
CN1C(=O)[N-]C(=O)C=C1	water	N Parameter: 8.54 s N Parameter: 0.77	O=c1cc[nX3]c(=O)[n-]1
CN1C=NC2=C1N=C(N)[N-]C2=O	water	N Parameter: 10.77 s N Parameter: 0.65	O=c1cc[nX2]c([NH2])[n-]1
NC1=C2[N-]C=NC2=NC=N1	DMSO	N Parameter: 18.00 s N Parameter: 0.55	[ar6]:[cR2]1nc[n-][cR2]1:[nr6,cr6]
NC1=C2[N-]C=NC2=NC=N1	water	N Parameter: 10.93 s N Parameter: 0.62	[ar6]:[cR2]1nc[n-][cR2]1:[nr6,cr6]
NC1=NC2=C([N-]C=N2)C(=O)N1	water	N Parameter: 11.63 s N Parameter: 0.59	[ar6]:[cR2]1nc[n-][cR2]1:[nr6,cr6]
NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)[N-]1	water	N Parameter: 12.09 s N Parameter: 0.52	O=c1cc[nX2]c([NX3])[n-]1
[N-]1C=NC2=NC=NC=C12	DMSO	N Parameter: 15.03 s N Parameter: 0.77	[ar6]:[cR2]1nc[n-][cR2]1:[nr6,cr6]
[N-]1C=NC2=NC=NC=C12	water	N Parameter: 11.00 s N Parameter: 0.54	[ar6]:[cR2]1nc[n-][cR2]1:[nr6,cr6]
CN1C2=C([N-]C=N2)C(=O)N(C)C1=O	DMSO	N Parameter: 14.78 s N Parameter: 0.71	[ar6]:[cR2]1nc[n-][cR2]1:[nr6,cr6]
CN1C2=C([N-]C=N2)C(=O)N(C)C1=O	water	N Parameter: 10.06 s N Parameter: 0.71	[ar6]:[cR2]1nc[n-][cR2]1:[nr6,cr6]
CC1=C[N-]C(=O)NC1=O	DMSO	N Parameter: 17.63 s N Parameter: 0.62	O=c1cc[n-]c(=O)[nX3]1
CC1=C[N-]C(=O)NC1=O	water	N Parameter: 11.17 s N Parameter: 0.51	O=c1cc[n-]c(=O)[nX3]1
O=C1NC(=O)C=C[N-]1	DMSO	N Parameter: 17.04 s N Parameter: 0.63	O=c1cc[n-]c(=O)[nX3]1
O=C1NC(=O)C=C[N-]1	water	N Parameter: 10.75 s N Parameter: 0.53	O=c1cc[n-]c(=O)[nX3]1
C1(=CC=CC2=CC=CC=C12)CC1N2CCC(C1)CC2	MeCN	N Parameter: 15.66 s N Parameter: 0.62	[CX4H2R,CX4H3R][NX3R]([CX4R])[CX4R]
CC(=O)N1CCN2CCN(C(C)=O)C3=C2C1=CN=C3	MeCN	N Parameter: 15.39 s N Parameter: 0.60	[CX4H2,CX4H3][NX3]([CX4,c])[CX4!H0]
C(N1CCN2CCN(CC3=CC=CC=C3)C3=C2C1=CN=C3)C1=CC=CC=C1	MeCN	N Parameter: 17.69 s N Parameter: 0.57	[CX4H2,CX4H3][NX3]([CX4,c])[CX4!H0]
O=C(N1CCN2CCN(C(=O)C3=CC=CC=C3)C3=C2C1=CN=C3)C1=CC=CC=C1	MeCN	N Parameter: 14.19 s N Parameter: 0.67	[CX4H2,CX4H3][NX3]([CX4,c])[CX4!H0]
CCN1CCN2CCN(CC)C3=C2C1=CN=C3	MeCN	N Parameter: 16.81 s N Parameter: 0.60	[CX4H2,CX4H3][NX3]([CX4,c])[CX4!H0]
CN1CCN2CCN(C)C3=C2C1=CN=C3	MeCN	N Parameter: 16.65 s N Parameter: 0.58	[CX4H2,CX4H3][NX3]([CX4,c])[CX4!H0]
BrC=1C=NC=CC1N(C)C	MeCN	N Parameter: 12.96 s N Parameter: 0.67	[CX4H2,CX4H3][NX3]([CX4,c])[CX4!H0]
CC=1C=NC=CC1	dichloromethane	N Parameter: 10.90 s N Parameter: 0.93	c1ccncc1
CC=1C=NC=CC1	MeCN	N Parameter: 11.50 s N Parameter: 0.80	c1ccncc1
FC(C1N(CCC1)C1=CC=NC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	dichloromethane	N Parameter: 14.57 s N Parameter: 0.75	c1ccncc1
CN(C1=CC=NC=C1)C	MeOH-MeCN mix	N Parameter: 13.20 s N Parameter: 0.67	c1ccncc1
CN(C1=CC=NC=C1)C	dichloromethane	N Parameter: 15.80 s N Parameter: 0.66	c1ccncc1
CN(C1=CC=NC=C1)C	DMF	N Parameter: 14.90 s N Parameter: 0.67	c1ccncc1
CN(C1=CC=NC=C1)C	DMSO	N Parameter: 14.80 s N Parameter: 0.67	c1ccncc1
CN(C1=CC=NC=C1)C	water	N Parameter: 13.19 s N Parameter: 0.56	c1ccncc1
CN(C1=CC=NC=C1)C	MeCN	N Parameter: 15.51 s N Parameter: 0.62	c1ccncc1
CN(C1=CC=NC=C1)C	THF	N Parameter: 15.90 s N Parameter: 0.66	c1ccncc1
O1CCN(CC1)C1=CC=NC=C1	dichloromethane	N Parameter: 14.59 s N Parameter: 0.69	c1ccncc1
O1CCN(CC1)C1=CC=NC=C1	MeCN	N Parameter: 14.80 s N Parameter: 0.63	c1ccncc1
C(C)(=O)NC1=CC=NC=C1	MeCN	N Parameter: 13.24 s N Parameter: 0.67	c1ccncc1
NC1=C(C=NC=C1Br)Br	MeCN	N Parameter: 11.11 s N Parameter: 0.75	c1ccncc1
NC1=CC=NC=C1	dichloromethane	N Parameter: 15.20 s N Parameter: 0.67	c1ccncc1
NC1=CC=NC=C1	water	N Parameter: 12.19 s N Parameter: 0.66	c1ccncc1
ClC1=CC=NC=C1	dichloromethane	N Parameter: 11.70 s N Parameter: 0.67	c1ccncc1
ClC1=CC=NC=C1	water	N Parameter: 10.50 s N Parameter: 0.73	c1ccncc1
COC1=CC=NC=C1	dichloromethane	N Parameter: 13.70 s N Parameter: 0.67	c1ccncc1
COC1=CC=NC=C1	water	N Parameter: 11.44 s N Parameter: 0.68	c1ccncc1
CC1=C2C=CC=CC2=NC=C1	MeCN	N Parameter: 11.60 s N Parameter: 0.62	c1ccncc1
CC1=CC=NC=C1	dichloromethane	N Parameter: 13.70 s N Parameter: 0.67	c1ccncc1
CC1=CC=NC=C1	water	N Parameter: 11.10 s N Parameter: 0.75	c1ccncc1
N1(CCCC1)C1=CC=NC=C1	dichloromethane	N Parameter: 15.90 s N Parameter: 0.67	c1ccncc1
N1(CCCC1)C1=CC=NC=C1	water	N Parameter: 12.39 s N Parameter: 0.66	c1ccncc1
N1(CCCC1)C1=CC=NC=C1	MeCN	N Parameter: 14.99 s N Parameter: 0.69	c1ccncc1
COC=1C=C2C=CC=NC2=CC1	MeCN	N Parameter: 10.86 s N Parameter: 0.66	c1ccncc1
N1=CC=CC(=C1)C1N(C)CCC1	dichloromethane	N Parameter: 10.40 s N Parameter: 1.04	c1ccncc1
N1=CC=CC(=C1)C1N(C)CCC1	MeCN	N Parameter: 11.60 s N Parameter: 0.81	c1ccncc1
N1=CC=CC=C1	dichloromethane	N Parameter: 12.90 s N Parameter: 0.67	c1ccncc1
N1=CC=CC=C1	water	N Parameter: 11.05 s N Parameter: 0.73	c1ccncc1
O(c4cc1c(nccc1[C@H](O)[C@@H]2N3CC[C@@H](C2)[C@@H](/C=C)C3)cc4)C	dichloromethane	N Parameter: 10.54 s N Parameter: 0.74	c1ccncc1
[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)OC)O)C[C@@H]4CC[N@]1C[C@@H]4C=C	dichloromethane	N Parameter: 10.46 s N Parameter: 0.75	c1ccncc1
C1CN2CCCC3=C2C(C1)=CN=C3	MeCN	N Parameter: 15.60 s N Parameter: 0.68	c1ccncc1
CC#N	MeCN	N Parameter: 2.23 s N Parameter: 0.84	[CX4,c][CX2]#[NX1]
N=[N+]=[N-]	MeOH-MeCN mix	N Parameter: 15.01 s N Parameter: 0.80	N=[N+]=[N-]
N=[N+]=[N-]	EtOH-MeCN mix	N Parameter: 16.30 s N Parameter: 0.73	N=[N+]=[N-]
N=[N+]=[N-]	iPrOH-MeCN mix	N Parameter: 17.07 s N Parameter: 0.71	N=[N+]=[N-]
N=[N+]=[N-]	MeOH-MeCN mix	N Parameter: 14.54 s N Parameter: 0.82	N=[N+]=[N-]
N=[N+]=[N-]	nPrOH-MeCN mix	N Parameter: 16.70 s N Parameter: 0.73	N=[N+]=[N-]
N=[N+]=[N-]	DMSO	N Parameter: 20.50 s N Parameter: 0.59	N=[N+]=[N-]
[O-]C#N	MeCN	N Parameter: 13.60 s N Parameter: 0.84	[SX2,SX1,OX2,OX1][CX2]#[NX1]
[N+](=O)[O-]	MeCN	N Parameter: 17.20 s N Parameter: 0.72	O=[N+][O-]
[S-]C#N	MeCN	N Parameter: 12.13 s N Parameter: 0.60	[SX2,SX1,OX2,OX1][CX2]#[NX1]
FC(C[O-])(F)F	water	N Parameter: 12.66 s N Parameter: 0.59	[CX4][OX1-]
C(C)[O-]	EtOH-MeCN mix	N Parameter: 16.08 s N Parameter: 0.62	[CX4][OX1-]
C(C)[O-]	EtOH	N Parameter: 15.78 s N Parameter: 0.65	[CX4][OX1-]
C(C)(C)[O-]	iPrOH-MeCN mix	N Parameter: 17.71 s N Parameter: 0.58	[CX4][OX1-]
C(C)(C)[O-]	iPrOH	N Parameter: 17.03 s N Parameter: 0.63	[CX4][OX1-]
C[O-]	MeOH-MeCN mix	N Parameter: 14.51 s N Parameter: 0.68	[CX4][OX1-]
C[O-]	MeOH	N Parameter: 15.78 s N Parameter: 0.56	[CX4][OX1-]
C(CC)[O-]	nPrOH-MeCN mix	N Parameter: 16.73 s N Parameter: 0.63	[CX4][OX1-]
C(CC)[O-]	nPrOH	N Parameter: 16.03 s N Parameter: 0.70	[CX4][OX1-]
[OH-]	water-MeCN mix	N Parameter: 10.19 s N Parameter: 0.62	[OX1H-]
[OH-]	water	N Parameter: 10.47 s N Parameter: 0.61	[OX1H-]
[N+](=O)([O-])C=1C=C(C(=O)[O-])C=C(C1)[N+](=O)[O-]	acetone	N Parameter: 18.80 s N Parameter: 0.62	[#6,OX2H0][CX3](=[OX1])[OX1-]
[N+](=O)([O-])C=1C=C(C(=O)[O-])C=C(C1)[N+](=O)[O-]	MeCN	N Parameter: 14.90 s N Parameter: 0.71	[#6,OX2H0][CX3](=[OX1])[OX1-]
C(C)(=O)[O-]	aq acetone	N Parameter: 12.50 s N Parameter: 0.60	[#6,OX2H0][CX3](=[OX1])[OX1-]
C(C)(=O)[O-]	aq acetone	N Parameter: 12.71 s N Parameter: 0.68	[#6,OX2H0][CX3](=[OX1])[OX1-]
C(C)(=O)[O-]	MeCN	N Parameter: 16.90 s N Parameter: 0.75	[#6,OX2H0][CX3](=[OX1])[OX1-]
C(C1=CC=CC=C1)(=O)[O-]	aq MeCN	N Parameter: 11.30 s N Parameter: 0.72	[#6,OX2H0][CX3](=[OX1])[OX1-]
C(C1=CC=CC=C1)(=O)[O-]	MeCN	N Parameter: 16.82 s N Parameter: 0.70	[#6,OX2H0][CX3](=[OX1])[OX1-]
C(C1=CC=CC=C1)(=O)[O-]	MeCN	N Parameter: 16.45 s N Parameter: 0.72	[#6,OX2H0][CX3](=[OX1])[OX1-]
C(OC)([O-])=O	MeCN	N Parameter: 16.03 s N Parameter: 0.64	[#6,OX2H0][CX3](=[OX1])[OX1-]
[N+](=O)([O-])C1=CC=C(C(=O)[O-])C=C1	acetone	N Parameter: 18.74 s N Parameter: 0.68	[#6,OX2H0][CX3](=[OX1])[OX1-]
[N+](=O)([O-])C1=CC=C(C(=O)[O-])C=C1	MeCN	N Parameter: 15.30 s N Parameter: 0.76	[#6,OX2H0][CX3](=[OX1])[OX1-]
CS(=O)C	DMSO	N Parameter: 11.30 s N Parameter: 0.74	[CX4][SX3](=[OX1])[CX4]
C(C)O	EtOH	N Parameter: 7.44 s N Parameter: 0.90	[$([CX4H3]),$([CX4H2][#6,OH0,NH0,SH0]),$([CX4H]([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0]),$([CX4]([CX4!H0,CX3,CX2,c])([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0])][OH]
C(C)O	MeCN	N Parameter: 7.13 s N Parameter: 0.71	[$([CX4H3]),$([CX4H2][#6,OH0,NH0,SH0]),$([CX4H]([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0]),$([CX4]([CX4!H0,CX3,CX2,c])([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0])][OH]
O	water	N Parameter: 5.20 s N Parameter: 0.89	[OH2]
C(C)(C)O	MeCN	N Parameter: 6.82 s N Parameter: 0.70	[$([CX4H3]),$([CX4H2][#6,OH0,NH0,SH0]),$([CX4H]([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0]),$([CX4]([CX4!H0,CX3,CX2,c])([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0])][OH]
CO	MeOH	N Parameter: 7.54 s N Parameter: 0.92	[$([CX4H3]),$([CX4H2][#6,OH0,NH0,SH0]),$([CX4H]([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0]),$([CX4]([CX4!H0,CX3,CX2,c])([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0])][OH]
CO	MeCN	N Parameter: 6.86 s N Parameter: 0.73	[$([CX4H3]),$([CX4H2][#6,OH0,NH0,SH0]),$([CX4H]([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0]),$([CX4]([CX4!H0,CX3,CX2,c])([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0])][OH]
C(C)(C)(C)O	MeCN	N Parameter: 5.35 s N Parameter: 0.72	[$([CX4H3]),$([CX4H2][#6,OH0,NH0,SH0]),$([CX4H]([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0]),$([CX4]([CX4!H0,CX3,CX2,c])([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0])][OH]
FC(CO)(F)F	TFE	N Parameter: 1.11 s N Parameter: 0.96	[$([CX4H3]),$([CX4H2][#6,OH0,NH0,SH0]),$([CX4H]([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0]),$([CX4]([CX4!H0,CX3,CX2,c])([CX4!H0,CX3,CX2,c])[#6,OH0,NH0,SH0])][OH]
O	MeCN	N Parameter: 5.79 s N Parameter: 0.72	[OH2]
C1(=CC=CC=C1)\C(=C(/[O-])\C=1N(C(=N[N+]1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1)\C	THF	N Parameter: 16.73 s N Parameter: 0.63	[CX3]=[CX3][O-]
Br(=O)[O-]	water	N Parameter: 12.75 s N Parameter: 0.59	[Br](=[OX1])[OX1-]
Br[O-]	water	N Parameter: 16.69 s N Parameter: 0.46	[Br,Cl][OX1-]
Cl[O-]	water	N Parameter: 14.50 s N Parameter: 0.58	[Br,Cl][OX1-]
S(=O)(=O)(O[O-])[O-]	water	N Parameter: 14.41 s N Parameter: 0.60	[SX4](=[OX1])(=[OX1])([OX2][OX1-])[OX1-]
C1(=CC=CC=C1)CC(=O)O[O-]	water	N Parameter: 15.63 s N Parameter: 0.56	[#6][OX2][OX1-]
ClC=1C=C(C(=O)O[O-])C=C(C1)Cl	water	N Parameter: 17.93 s N Parameter: 0.50	[#6][OX2][OX1-]
ClC=1C=C(C(=O)O[O-])C=CC1OC	water	N Parameter: 18.56 s N Parameter: 0.48	[#6][OX2][OX1-]
ClC=1C=C(C(=O)O[O-])C=CC1	water	N Parameter: 18.19 s N Parameter: 0.47	[#6][OX2][OX1-]
FC1=CC=C(C(=O)O[O-])C=C1	water	N Parameter: 17.99 s N Parameter: 0.47	[#6][OX2][OX1-]
COC1=CC=C(C(=O)O[O-])C=C1	water	N Parameter: 17.84 s N Parameter: 0.46	[#6][OX2][OX1-]
[N+](=O)([O-])C1=CC=C(C(=O)O[O-])C=C1	water	N Parameter: 17.43 s N Parameter: 0.50	[#6][OX2][OX1-]
[O-]OC(=O)CC[NH+]1CCCCC1	water	N Parameter: 13.94 s N Parameter: 0.62	[#6][OX2][OX1-]
CC(C)(O[O-])C1=CC=CC=C1	water	N Parameter: 13.92 s N Parameter: 0.61	[#6][OX2][OX1-]
O[O-]	water	N Parameter: 15.40 s N Parameter: 0.55	[OX2][OX1-]
[O-]OC(=O)C1=CC=CC=C1C([O-])=O	water	N Parameter: 18.43 s N Parameter: 0.46	[#6][OX2][OX1-]
[NH3+]CCC(=O)O[O-]	water	N Parameter: 14.07 s N Parameter: 0.56	[#6][OX2][OX1-]
[NH3+]CCCC(=O)O[O-]	water	N Parameter: 14.33 s N Parameter: 0.57	[#6][OX2][OX1-]
C(C1=CC=CC=C1)(=O)O[O-]	water	N Parameter: 18.57 s N Parameter: 0.43	[#6][OX2][OX1-]
C1(C=2C(C(N1C(C(=O)O[O-])CCCC)=O)=CC=CC2)=O	water	N Parameter: 16.02 s N Parameter: 0.54	[#6][OX2][OX1-]
CC(C)(C)O[O-]	water	N Parameter: 14.29 s N Parameter: 0.51	[#6][OX2][OX1-]
[N+](=O)([O-])C1=C(C=CC=C1)[O-]	DMF	N Parameter: 16.65 s N Parameter: 0.70	c[OX1-]
[N+](=O)([O-])C1=C(C=CC=C1)[O-]	DMSO	N Parameter: 15.48 s N Parameter: 0.71	c[OX1-]
[N+](=O)([O-])C1=CC=C(C=C1)[O-]	DMF	N Parameter: 15.05 s N Parameter: 0.80	c[OX1-]
[N+](=O)([O-])C1=CC=C(C=C1)[O-]	MeCN	N Parameter: 15.14 s N Parameter: 0.82	c[OX1-]
[N+](=O)([O-])C1=C(C=CC=C1)[O-]	MeCN	N Parameter: 15.83 s N Parameter: 0.80	c[OX1-]
FC(C=1C=C(C=CC1)[O-])(F)F	DMF	N Parameter: 23.40 s N Parameter: 0.51	c[OX1-]
FC(C=1C=C(C=CC1)[O-])(F)F	DMSO	N Parameter: 22.62 s N Parameter: 0.51	c[OX1-]
FC(C=1C=C(C=CC1)[O-])(F)F	MeCN	N Parameter: 23.20 s N Parameter: 0.51	c[OX1-]
COC=1C=C(C=CC1)[O-]	MeCN	N Parameter: 18.81 s N Parameter: 0.80	c[OX1-]
[N+](=O)([O-])C=1C=C(C=CC1)[O-]	DMF	N Parameter: 22.41 s N Parameter: 0.54	c[OX1-]
[N+](=O)([O-])C=1C=C(C=CC1)[O-]	DMSO	N Parameter: 21.29 s N Parameter: 0.54	c[OX1-]
[N+](=O)([O-])C=1C=C(C=CC1)[O-]	MeCN	N Parameter: 25.51 s N Parameter: 0.43	c[OX1-]
CC(C)(C)C1=CC=CC(=C1[O-])C(C)(C)C	DMSO	N Parameter: 21.02 s N Parameter: 0.59	c[OX1-]
FC(C1=C(C=CC=C1)[O-])(F)F	DMF	N Parameter: 20.37 s N Parameter: 0.58	c[OX1-]
FC(C1=C(C=CC=C1)[O-])(F)F	DMSO	N Parameter: 18.47 s N Parameter: 0.61	c[OX1-]
FC(C1=C(C=CC=C1)[O-])(F)F	MeCN	N Parameter: 18.39 s N Parameter: 0.69	c[OX1-]
C(C)(C)(C)C1=CC=C(C=C1)[O-]	DMF	N Parameter: 19.90 s N Parameter: 0.80	c[OX1-]
C(C)(C)(C)C1=CC=C(C=C1)[O-]	DMSO	N Parameter: 19.67 s N Parameter: 0.79	c[OX1-]
C(C)(C)(C)C1=CC=C(C=C1)[O-]	MeCN	N Parameter: 21.70 s N Parameter: 0.58	c[OX1-]
FC(C1=CC=C(C=C1)[O-])(F)F	DMF	N Parameter: 22.05 s N Parameter: 0.53	c[OX1-]
FC(C1=CC=C(C=C1)[O-])(F)F	DMSO	N Parameter: 18.98 s N Parameter: 0.63	c[OX1-]
FC(C1=CC=C(C=C1)[O-])(F)F	MeCN	N Parameter: 21.69 s N Parameter: 0.53	c[OX1-]
ClC1=CC=C(C=C1)[O-]	DMF	N Parameter: 19.67 s N Parameter: 0.72	c[OX1-]
ClC1=CC=C(C=C1)[O-]	DMSO	N Parameter: 20.34 s N Parameter: 0.64	c[OX1-]
ClC1=CC=C(C=C1)[O-]	MeCN	N Parameter: 18.32 s N Parameter: 0.82	c[OX1-]
C(#N)C1=CC=C(C=C1)[O-]	DMF	N Parameter: 17.85 s N Parameter: 0.71	c[OX1-]
C(#N)C1=CC=C(C=C1)[O-]	DMSO	N Parameter: 18.78 s N Parameter: 0.57	c[OX1-]
C(#N)C1=CC=C(C=C1)[O-]	MeCN	N Parameter: 19.58 s N Parameter: 0.59	c[OX1-]
COC1=CC=C(C=C1)[O-]	DMF	N Parameter: 19.90 s N Parameter: 0.82	c[OX1-]
COC1=CC=C(C=C1)[O-]	DMSO	N Parameter: 20.09 s N Parameter: 0.80	c[OX1-]
COC1=CC=C(C=C1)[O-]	MeCN	N Parameter: 20.62 s N Parameter: 0.69	c[OX1-]
CC1=CC=C(C=C1)[O-]	DMF	N Parameter: 19.65 s N Parameter: 0.85	c[OX1-]
CC1=CC=C(C=C1)[O-]	DMSO	N Parameter: 19.08 s N Parameter: 0.87	c[OX1-]
CC1=CC=C(C=C1)[O-]	water	N Parameter: 14.30 s N Parameter: 0.55	c[OX1-]
[N+](=O)([O-])C1=CC=C(C=C1)[O-]	DMSO	N Parameter: 14.32 s N Parameter: 0.77	c[OX1-]
C1(=CC=CC=C1)[O-]	DMF	N Parameter: 18.86 s N Parameter: 0.89	c[OX1-]
C1(=CC=CC=C1)[O-]	DMSO	N Parameter: 19.86 s N Parameter: 0.71	c[OX1-]
C1(=CC=CC=C1)[O-]	MeCN	N Parameter: 18.53 s N Parameter: 0.85	c[OX1-]
CC(COc1ccccc1)C(Cl)(Cl)Cl		N Parameter: 2 s N Parameter: 0.9	[CX4,c][OX2][CX4]
CCOP(=O)([CH-]C#N)OCC	DMSO	N Parameter: 18.57 s N Parameter: 0.66	[CX3-]
CCOP(=O)([CH-]C#N)OCC	DMSO	N Parameter: 19.23 s N Parameter: 0.65	[CX3-]
